entry_id,entrytag_id,entrytag_name,entrytag_level,entrytag_path,parent_entrytag_id
182,730,Ancient Christianity in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],42.0
184,8,Religious Group,1,Religious Group[8],
184,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
184,65,Chinese Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],14.0
184,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
185,8,Religious Group,1,Religious Group[8],
185,26,Japanese Religions,2,Religious Group[8]->Japanese Religions[26],8.0
185,297,Shintō,2,Religious Group[8]->Shintō[297],8.0
185,368,Shintō,3,Religious Group[8]->Japanese Religions[26]->Shintō[368],26.0
185,370,New Religious Movements,4,Religious Group[8]->Japanese Religions[26]->Shintō[368]->New Religious Movements[370],368.0
185,398,New Religious Movements,3,Religious Group[8]->Shintō[297]->New Religious Movements[398],297.0
186,8,Religious Group,1,Religious Group[8],
186,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
186,65,Chinese Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],14.0
186,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
186,383,Chinese Buddhist Traditions,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],123.0
187,8,Religious Group,1,Religious Group[8],
187,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
187,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
187,129,Shang Religion / Western Zhou Religion,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],128.0
189,8,Religious Group,1,Religious Group[8],
189,27,Jewish Traditions,2,Religious Group[8]->Jewish Traditions[27],8.0
190,8,Religious Group,1,Religious Group[8],
190,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
191,8,Religious Group,1,Religious Group[8],
191,44,Sikhism,2,Religious Group[8]->Sikhism[44],8.0
192,8,Religious Group,1,Religious Group[8],
192,40,Oceanic Religions,2,Religious Group[8]->Oceanic Religions[40],8.0
192,311,Melanesia,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],40.0
192,312,Fijian Religons,4,Religious Group[8]->Oceanic Religions[40]->Melanesia[311]->Fijian Religons[312],311.0
193,8,Religious Group,1,Religious Group[8],
193,40,Oceanic Religions,2,Religious Group[8]->Oceanic Religions[40],8.0
193,311,Melanesia,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],40.0
193,312,Fijian Religons,4,Religious Group[8]->Oceanic Religions[40]->Melanesia[311]->Fijian Religons[312],311.0
195,8,Religious Group,1,Religious Group[8],
195,1244,Hinduism,2,Religious Group[8]->Hinduism[1244],8.0
195,1327,Shaktism,3,Religious Group[8]->Hinduism[1244]->Shaktism[1327],1244.0
196,8,Religious Group,1,Religious Group[8],
196,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
196,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
196,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
196,730,Ancient Christianity in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],42.0
197,8,Religious Group,1,Religious Group[8],
197,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
197,116,Tibetan Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],14.0
197,117,Geluk sect (dge lugs),4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],116.0
198,8,Religious Group,1,Religious Group[8],
198,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
199,8,Religious Group,1,Religious Group[8],
199,36,Mithraism,2,Religious Group[8]->Mithraism[36],8.0
199,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
200,8,Religious Group,1,Religious Group[8],
200,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
200,116,Tibetan Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],14.0
200,117,Geluk sect (dge lugs),4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],116.0
200,119,Nyingma sect (rnying ma),4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Nyingma sect (rnying ma)[119],116.0
200,121,Sakya sect (sa skya),4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Sakya sect (sa skya)[121],116.0
201,8,Religious Group,1,Religious Group[8],
201,10,Anatolian Religions,2,Religious Group[8]->Anatolian Religions[10],8.0
201,20,Egyptian Religions,2,Religious Group[8]->Egyptian Religions[20],8.0
201,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
201,36,Mithraism,2,Religious Group[8]->Mithraism[36],8.0
201,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
201,299,Roman State Religions,3,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299],42.0
201,506,Republican Religions,4,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299]->Republican Religions[506],299.0
201,730,Ancient Christianity in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],42.0
201,731,Diaspora Judaism in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Diaspora Judaism in Rome[731],42.0
201,733,Greek Religions in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Greek Religions in Rome[733],42.0
201,736,Roman Private Religions,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],42.0
201,740,Imperial Cult (emperor worship),4,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299]->Imperial Cult (emperor worship)[740],299.0
202,8,Religious Group,1,Religious Group[8],
202,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
203,8,Religious Group,1,Religious Group[8],
203,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
204,8,Religious Group,1,Religious Group[8],
204,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
204,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
204,130,Han Imperial Confucianism,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Han Imperial Confucianism[130],128.0
204,131,Confucian (rujia 儒家) Traditions,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],123.0
207,8,Religious Group,1,Religious Group[8],
207,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
207,383,Chinese Buddhist Traditions,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],123.0
209,8,Religious Group,1,Religious Group[8],
209,20,Egyptian Religions,2,Religious Group[8]->Egyptian Religions[20],8.0
210,8,Religious Group,1,Religious Group[8],
210,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
210,730,Ancient Christianity in Rome,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],42.0
211,8,Religious Group,1,Religious Group[8],
211,20,Egyptian Religions,2,Religious Group[8]->Egyptian Religions[20],8.0
212,8,Religious Group,1,Religious Group[8],
212,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
216,8,Religious Group,1,Religious Group[8],
216,11,Assyrian Religions,2,Religious Group[8]->Assyrian Religions[11],8.0
216,34,Mesopotamian Religions,2,Religious Group[8]->Mesopotamian Religions[34],8.0
216,46,Sumerian Religions,2,Religious Group[8]->Sumerian Religions[46],8.0
216,330,Akkadian Religions,3,Religious Group[8]->Mesopotamian Religions[34]->Akkadian Religions[330],34.0
216,332,Babylonian Religions,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],34.0
216,333,Old Babylonian Religions,3,Religious Group[8]->Mesopotamian Religions[34]->Old Babylonian Religions[333],34.0
217,8,Religious Group,1,Religious Group[8],
217,751,Italic Religions,2,Religious Group[8]->Italic Religions[751],8.0
217,776,Ancient Mediterranean,2,Religious Group[8]->Ancient Mediterranean[776],8.0
217,900,Roman Religions,2,Religious Group[8]->Roman Religions[900],8.0
217,1300,Polytheistic,2,Religious Group[8]->Polytheistic[1300],8.0
222,8,Religious Group,1,Religious Group[8],
222,33,Mesoamerican Religions,2,Religious Group[8]->Mesoamerican Religions[33],8.0
222,340,Mayan Religions,3,Religious Group[8]->Mesoamerican Religions[33]->Mayan Religions[340],33.0
224,8,Religious Group,1,Religious Group[8],
224,21,Germanic Religions,2,Religious Group[8]->Germanic Religions[21],8.0
227,8,Religious Group,1,Religious Group[8],
227,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
227,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
227,643,Hindu Śākta traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Śākta traditions[643],566.0
227,645,Bhakti traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Bhakti traditions[645],566.0
228,8,Religious Group,1,Religious Group[8],
228,28,Korean Religions,2,Religious Group[8]->Korean Religions[28],8.0
228,356,Korean Confucianism,3,Religious Group[8]->Korean Religions[28]->Korean Confucianism[356],28.0
230,8,Religious Group,1,Religious Group[8],
230,11,Assyrian Religions,2,Religious Group[8]->Assyrian Religions[11],8.0
230,34,Mesopotamian Religions,2,Religious Group[8]->Mesopotamian Religions[34],8.0
230,332,Babylonian Religions,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],34.0
231,8,Religious Group,1,Religious Group[8],
231,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
231,736,Roman Private Religions,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],42.0
232,8,Religious Group,1,Religious Group[8],
232,20,Egyptian Religions,2,Religious Group[8]->Egyptian Religions[20],8.0
233,8,Religious Group,1,Religious Group[8],
233,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
233,20,Egyptian Religions,2,Religious Group[8]->Egyptian Religions[20],8.0
234,8,Religious Group,1,Religious Group[8],
234,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
236,8,Religious Group,1,Religious Group[8],
236,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
237,8,Religious Group,1,Religious Group[8],
237,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
238,8,Religious Group,1,Religious Group[8],
238,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
239,8,Religious Group,1,Religious Group[8],
239,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
240,8,Religious Group,1,Religious Group[8],
240,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
240,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
244,8,Religious Group,1,Religious Group[8],
244,26,Japanese Religions,2,Religious Group[8]->Japanese Religions[26],8.0
244,410,Japanese Confucianism,3,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410],26.0
244,411,Japanese Neo-Confucianism,4,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410]->Japanese Neo-Confucianism[411],410.0
245,8,Religious Group,1,Religious Group[8],
245,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
245,131,Confucian (rujia 儒家) Traditions,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],123.0
245,132,Pre-Qin Confucian Traditions,4,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131]->Pre-Qin Confucian Traditions[132],131.0
246,8,Religious Group,1,Religious Group[8],
246,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
247,8,Religious Group,1,Religious Group[8],
247,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
249,8,Religious Group,1,Religious Group[8],
249,904,Shamanism,2,Religious Group[8]->Shamanism[904],8.0
250,8,Religious Group,1,Religious Group[8],
250,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
250,65,Chinese Buddhist Traditions,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],14.0
250,77,Tiantai school (tiantai zong 天台宗),4,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65]->Tiantai school (tiantai zong 天台宗)[77],65.0
252,8,Religious Group,1,Religious Group[8],
252,9,African Religions,2,Religious Group[8]->African Religions[9],8.0
255,8,Religious Group,1,Religious Group[8],
255,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
256,8,Religious Group,1,Religious Group[8],
256,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
256,734,Italic Religions,3,Religious Group[8]->Roman Religious Traditions[42]->Italic Religions[734],42.0
256,776,Ancient Mediterranean,2,Religious Group[8]->Ancient Mediterranean[776],8.0
257,8,Religious Group,1,Religious Group[8],
257,33,Mesoamerican Religions,2,Religious Group[8]->Mesoamerican Religions[33],8.0
257,498,Zapotec Religion,3,Religious Group[8]->Mesoamerican Religions[33]->Zapotec Religion[498],33.0
263,8,Religious Group,1,Religious Group[8],
263,153,Catholic,3,Religious Group[8]->Christian Traditions[18]->Catholic[153],18.0
284,8,Religious Group,1,Religious Group[8],
284,40,Oceanic Religions,2,Religious Group[8]->Oceanic Religions[40],8.0
287,8,Religious Group,1,Religious Group[8],
287,36,Mithraism,2,Religious Group[8]->Mithraism[36],8.0
294,8,Religious Group,1,Religious Group[8],
294,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
294,134,Daoist Traditions,3,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134],123.0
294,139,Study of the Mysterious (xuanxue 玄學),4,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134]->Study of the Mysterious (xuanxue 玄學)[139],134.0
299,8,Religious Group,1,Religious Group[8],
299,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
299,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
299,129,Shang Religion / Western Zhou Religion,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],128.0
300,8,Religious Group,1,Religious Group[8],
300,15,Canaanite Religions,2,Religious Group[8]->Canaanite Religions[15],8.0
308,8,Religious Group,1,Religious Group[8],
308,11,Assyrian Religions,2,Religious Group[8]->Assyrian Religions[11],8.0
308,46,Sumerian Religions,2,Religious Group[8]->Sumerian Religions[46],8.0
310,8,Religious Group,1,Religious Group[8],
310,38,Native American (North American) Religions,2,Religious Group[8]->Native American (North American) Religions[38],8.0
325,8,Religious Group,1,Religious Group[8],
325,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
325,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
325,130,Han Imperial Confucianism,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Han Imperial Confucianism[130],128.0
325,131,Confucian (rujia 儒家) Traditions,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],123.0
337,8,Religious Group,1,Religious Group[8],
337,508,South American Religions,2,Religious Group[8]->South American Religions[508],8.0
337,509,Inca Religion,3,Religious Group[8]->South American Religions[508]->Inca Religion[509],508.0
338,8,Religious Group,1,Religious Group[8],
338,38,Native American (North American) Religions,2,Religious Group[8]->Native American (North American) Religions[38],8.0
338,320,Kwakiutal Religions,3,Religious Group[8]->Native American (North American) Religions[38]->Kwakiutal Religions[320],38.0
341,8,Religious Group,1,Religious Group[8],
341,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
342,8,Religious Group,1,Religious Group[8],
342,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
348,8,Religious Group,1,Religious Group[8],
348,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
348,128,Chinese State Religion,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],123.0
348,129,Shang Religion / Western Zhou Religion,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],128.0
348,1251,Yellow and Yangzi Rivers Region,2,Religious Group[8]->Yellow and Yangzi Rivers Region[1251],8.0
354,8,Religious Group,1,Religious Group[8],
354,34,Mesopotamian Religions,2,Religious Group[8]->Mesopotamian Religions[34],8.0
354,332,Babylonian Religions,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],34.0
355,8,Religious Group,1,Religious Group[8],
355,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
355,42,Roman Religious Traditions,2,Religious Group[8]->Roman Religious Traditions[42],8.0
355,742,Early Christianity,3,Religious Group[8]->Christian Traditions[18]->Early Christianity[742],18.0
358,8,Religious Group,1,Religious Group[8],
358,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
358,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
358,644,Vaiṣṇava Traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644],566.0
358,645,Bhakti traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Bhakti traditions[645],566.0
358,649,Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism),5,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644]->Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism)[649],644.0
361,8,Religious Group,1,Religious Group[8],
361,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
361,744,Greek Polis Religions,3,Religious Group[8]->Greek Religions[22]->Greek Polis Religions[744],22.0
364,8,Religious Group,1,Religious Group[8],
364,14,Buddhist Traditions,2,Religious Group[8]->Buddhist Traditions[14],8.0
364,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
374,8,Religious Group,1,Religious Group[8],
374,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
378,8,Religious Group,1,Religious Group[8],
378,896,Vaishnavism,2,Religious Group[8]->Vaishnavism[896],8.0
378,1244,Hinduism,2,Religious Group[8]->Hinduism[1244],8.0
378,1610,Bhakti,2,Religious Group[8]->Bhakti[1610],8.0
381,8,Religious Group,1,Religious Group[8],
381,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
381,704,Sikh traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Sikh traditions[704],510.0
381,779,Early Panth,4,Religious Group[8]->Indic Religious Traditions[510]->Sikh traditions[704]->Early Panth[779],704.0
383,8,Religious Group,1,Religious Group[8],
383,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
383,512,Bhakti traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Bhakti traditions[512],510.0
383,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
386,8,Religious Group,1,Religious Group[8],
386,40,Oceanic Religions,2,Religious Group[8]->Oceanic Religions[40],8.0
386,315,Polynesia,3,Religious Group[8]->Oceanic Religions[40]->Polynesia[315],40.0
387,8,Religious Group,1,Religious Group[8],
387,24,Islamic Traditions,2,Religious Group[8]->Islamic Traditions[24],8.0
387,249,Ahmadiyya,3,Religious Group[8]->Islamic Traditions[24]->Ahmadiyya[249],24.0
387,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
387,661,Islamic Traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Islamic Traditions[661],510.0
387,662,Aḥmadī,4,Religious Group[8]->Indic Religious Traditions[510]->Islamic Traditions[661]->Aḥmadī[662],661.0
389,8,Religious Group,1,Religious Group[8],
389,808,Southeast Asian Religions,2,Religious Group[8]->Southeast Asian Religions[808],8.0
390,8,Religious Group,1,Religious Group[8],
390,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
390,512,Bhakti traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Bhakti traditions[512],510.0
390,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
390,621,Śaiva traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Śaiva traditions[621],566.0
390,625,Liṅgāyat or Vīraśaiva,5,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Śaiva traditions[621]->Liṅgāyat or Vīraśaiva[625],621.0
390,642,Hindu Tantric traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Tantric traditions[642],566.0
390,643,Hindu Śākta traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Śākta traditions[643],566.0
390,646,Modern Hinduism,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],566.0
392,8,Religious Group,1,Religious Group[8],
392,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
392,704,Sikh traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Sikh traditions[704],510.0
395,8,Religious Group,1,Religious Group[8],
395,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
395,512,Bhakti traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Bhakti traditions[512],510.0
395,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
395,644,Vaiṣṇava Traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644],566.0
395,646,Modern Hinduism,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],566.0
395,649,Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism),5,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644]->Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism)[649],644.0
400,8,Religious Group,1,Religious Group[8],
400,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
400,180,Pentecostal,3,Religious Group[8]->Christian Traditions[18]->Pentecostal[180],18.0
400,784,Evangelical (charismatic),3,Religious Group[8]->Christian Traditions[18]->Evangelical (charismatic)[784],18.0
406,8,Religious Group,1,Religious Group[8],
406,123,Chinese Religion,2,Religious Group[8]->Chinese Religion[123],8.0
406,134,Daoist Traditions,3,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134],123.0
406,136,Celestial Masters (tianshi dao 天師道)/Way of Orthodox Unity (zhengyi dao 正一道),4,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134]->Celestial Masters (tianshi dao 天師道)/Way of Orthodox Unity (zhengyi dao 正一道)[136],134.0
415,8,Religious Group,1,Religious Group[8],
415,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
415,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
415,621,Śaiva traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Śaiva traditions[621],566.0
415,646,Modern Hinduism,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],566.0
416,8,Religious Group,1,Religious Group[8],
416,18,Christian Traditions,2,Religious Group[8]->Christian Traditions[18],8.0
416,45,Slavic Religions,2,Religious Group[8]->Slavic Religions[45],8.0
416,381,Orthodox/Eastern Christian,4,Religious Group[8]->Anatolian Religions[10]->Armenian Religion[53]->Orthodox/Eastern Christian[381],53.0
418,8,Religious Group,1,Religious Group[8],
418,40,Oceanic Religions,2,Religious Group[8]->Oceanic Religions[40],8.0
418,311,Melanesia,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],40.0
419,8,Religious Group,1,Religious Group[8],
419,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
419,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
419,644,Vaiṣṇava Traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644],566.0
419,646,Modern Hinduism,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],566.0
420,8,Religious Group,1,Religious Group[8],
420,510,Indic Religious Traditions,2,Religious Group[8]->Indic Religious Traditions[510],8.0
420,512,Bhakti traditions,3,Religious Group[8]->Indic Religious Traditions[510]->Bhakti traditions[512],510.0
420,566,Hinduism,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],510.0
420,644,Vaiṣṇava Traditions,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644],566.0
422,8,Religious Group,1,Religious Group[8],
422,22,Greek Religions,2,Religious Group[8]->Greek Religions[22],8.0
422,741,Hellenistic Religions,2,Religious Group[8]->Hellenistic Religions[741],8.0
