Entry ID,Entry Name,Original Code,Suggested Code,Simplified Code,Notes
1795,‘Adhwā‘ Al-Bayān fi ‘Idhāḥ Al-Qur‘ān bi Al-Qur‘ān: أضواء البيان في إيضاح القرآن بالقرآن,uncoded,state,state,
1796,Annals of Quedlinburg,uncoded,colony,chiefdom,
180,Chinese Folk Religion,uncoded,"chiefdom, empire",empire,no email listed
1812,The Prison Chronicle,uncoded,"chiefdom, empire",chiefdom,confirmed
1816,The Zhen'gao,uncoded,"chiefdom, empire",empire,
182,Pauline Christianity,uncoded,colony,empire,no email listed
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",other,"colony, state",state,
1845,Benedictine Order in Denmark,other,"chiefdom, empire",chiefdom,confirmed
185,Shinnyo-en,uncoded,keep uncoded,uncoded,confirmed
1852,The Communion Letters by Whitley and Anne Strieber,uncoded,"state, empire",state,
186,Buddhism (Late Ming),uncoded,"chiefdom, empire",empire,
187,Chinese State Religion (Shang and Western Zhou),uncoded,"chiefdom, empire",empire,no email listed
1871,Inana's descent to the nether world,uncoded,"chiefdom, empire",empire,
1875,"Jalal al-Din al-Suyuti, Perfect Guide to Qur'anic Studies (al-Itqan fi 'Ulum al-Qur'an)",uncoded,colony,state,
1882,The Life of Severus,uncoded,colony,empire,
1888,Communion By Whitley Strieber,uncoded,"state, empire",state,
189,Israelite Religion,uncoded,"unsure, leave uncoded",uncoded,
190,Sri Lankan Buddhism (1948-Present),uncoded,state,state,
1908,"Buddhist Traders in the Chinese Quarter in Hakata, Japan",uncoded,state,state,
191,Early Khalsa Sikhs,uncoded,empire,empire,
1918,Contemporary Neo-Confucianism 當代新儒家,other,keep as 'other',other,confirmed
192,Fijian Religion (pre-conversion),uncoded,colony,chiefdom,
1924,The Deuteronomistic History,uncoded,chiefdom,chiefdom,confirmed
193,Fijian Religion (contemporary),uncoded,state,state,
1938,Bahai religion,other,"empire, state",state,confirmed
1941,Tang Junyi 唐君毅,uncoded,keep uncoded,uncoded,confirmed
1944,Cakawi [sic] Cam 1969,uncoded,state,state,
1945,Theyyam Worshippers,uncoded,"empire, colony, state",uncoded,
195,Shakta Religion,uncoded,"chiefdom, empire",empire,
196,Pauline Christianity (ca. 45-60 CE),uncoded,colony,empire,email delivery failed
197,Gönlung Monastery (dgon lung byams pa gling),uncoded,"chiefdom, empire, state",empire,
1971,The Homeric Hymn to Demeter,uncoded,"chiefdom, empire",state,email delivery failed
1972,Shepherding Movement,other,"state, empire",state,
1973,The Homeric Hymn to Apollo,uncoded,"chiefdom, empire",state,email delivery failed
1979,The Homeric Hymn to Hermes,uncoded,"chiefdom, empire",state,email delivery failed
198,Religion in Attica (600-300BCE),uncoded,"chiefdom, empire",state,
199,Mithraism,uncoded,empire,empire,
1993,Ancient Boeotians,other,"chiefdom, empire, colony",empire,
1996,Delphic Hymns 1 and 2,uncoded,keep uncoded,uncoded,confirmed
1997,Hundred and eighty precepts of Lord Lao,uncoded,"chiefdom, empire",empire,
1998,The Chinese Christian scroll Pelliot chinois 3847,uncoded,"chiefdom, empire",empire,
2009,Ancient Arcadians,other,"chiefdom, empire, colony",empire,
201,Mediterranean,uncoded,"unsure, keep uncoded",uncoded,
202,Early Zhou Religion,uncoded,"empire, chiefdom",empire,no email listed
2025,"The Satisfaction of Souls and Words of the Wise concerning the scholars and righteous ones buried in Fez, by Muhammad ibn Ja'far al-Kattani",uncoded,"unsure, leave uncoded",uncoded,
2028,Bulugh Al- Maram min Adillat Al- Ahkam,uncoded,"chiefdom, empire",chiefdom,confirmed
203,Pre-imperial Chu Religion,uncoded,"empire, chiefdom",empire,no email listed
2038,"Cathars, Catharism, Albigenses, Albigensians, Cathari, Catharistae, ""Pure Christians""",other,tribe,tribe,confirmed
204,Han Confucianism,uncoded,"empire, chiefdom",empire,no email listed
207,Buddhism in the Tang,uncoded,"empire, chiefdom",empire,no email listed
209,Ancient Egypt,uncoded,empire,empire,no email listed
2090,أسهل المدارك شرح إرشاد السالك في فقه إمام الأئمة مالك,uncoded,"unsure, leave uncoded",uncoded,
2092,Interpretation of Imam Ibn Arafaتفسير الامام ابن عرفة الورغمّي,uncoded,"unsure, leave uncoded",uncoded,
2094,Feathered Serpent's cult,other,"chiefdom, empire",empire,
210,Jesus Associations and the Synoptic Gospels,uncoded,empire,empire,no email listed
2101,"Le livre Fasl al-Maqal d'Ibn Rushd concernant le lien entre la sagesse et la charia""فصل المقال فيما بين الحكمة والشريعة من اتّصال",uncoded,"unsure, leave uncoded",uncoded,
216,Mesopotamia,uncoded,"tribe, empire, colony",uncoded,no email listed
217,Roman private religion,uncoded,empire,empire,no email listed
222,Late Classic Lowland Maya,uncoded,"chiefdom, empire",empire,email delivery failed
227,Hindu Goddess Worship in Northwest India—Modern Period,uncoded,state,state,no email listed
23,Late Shang Religion,uncoded,"chiefdom, empire",empire,
232,Pre-Dynastic Lower Egypt,uncoded,"unsure, leave uncoded",uncoded,
233,Khartoum Neolithic,uncoded,"unsure, leave uncoded",uncoded,
234,East African Neolithic I,uncoded,"unsure, leave uncoded",uncoded,
236,East African Neolithic II,uncoded,"unsure, leave uncoded",uncoded,
237,Central African Neolithic,uncoded,"unsure, leave uncoded",uncoded,
238,Central African Iron Age,uncoded,"unsure, leave uncoded",uncoded,
239,North African Proto-Historic,uncoded,"unsure, leave uncoded",uncoded,
240,Late Medieval Chinese State Religion,uncoded,"chiefdom, empire",empire,
244,Early Tokugawa Neo-Confucianism,uncoded,chiefdom,chiefdom,
245,Warring States Confucian Thought,uncoded,state,state,confirmed
246,Acacus Mountains and Tassili n'Ajjer Neolithic,uncoded,"unsure, leave uncoded",uncoded,
247,Air and Tenere Neolithic,uncoded,"unsure, leave uncoded",uncoded,
249,Tyva Republic (Animism-Totemism-Shamanism),uncoded,state,state,confirmed
250,"Tiantai Buddhism (Song Dynasty, Liangzhe Circuit)",uncoded,"chiefdom, empire",empire,
252,Wilton,uncoded,"unsure, leave uncoded",uncoded,
257,Classic Zapotec,uncoded,keep uncoded,uncoded,confirmed
263,Irish Catholicism,other,state,state,
284,Yolngu religion,other,"colony, state",state,confirmed
294,Xuanxue 玄學,other,empire,empire,confirmed
308,Neo-Assyrian Scholars,uncoded,"chiefdom, empire",empire,
337,Inca,uncoded,"chiefdom, empire",empire,
341,Pauline Christianity,other,keep as 'other',other,
355,Paul the Apostle,uncoded,empire,empire,confirmed
364,Chittagong Plain Buddhists,other,state,state,
374,Non-dual Śaiva Tantra,other,empire (chiefdom dynasty),empire,email delivery failed
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra,other,state,state,
383,Varkaris,other,chiefdom,chiefdom,
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,other,"colony, state",state,email delivery failed
395,International Society for Krishna Consciousness (ISKCON),other,state,state,
420,Swaminarayan Sampraday,other,leave as 'other',other,
423,Mediterranean,uncoded,empire,empire,no email listed
443,Tyva (Buddhism),uncoded,"colony, state",state,confirmed
444,Sursurunga,uncoded,"colony, state",state,
451,Aymara,other,"empire, colony, state",uncoded,
453,Guangzhou (Buddhism),uncoded,"empire, state",state,
457,Kananga - Pentacostal,uncoded,state,state,
458,Tanna - Christian,uncoded,"colony, state",state,confirmed
459,Tanna - Kastom,uncoded,"unsure, leave uncoded",uncoded,
465,Mysore,uncoded,state,state,confirmed
468,Turkana,uncoded,"colony, state",state,
471,Urban Northern Ireland,uncoded,state,state,
476,Cham Bani,other,state,state,
478,Early Indian Buddhism,other,"chiefdom, empire",empire,email delivery failed
483,Northern Irish Roman Catholics,other,state,state,
484,Northern Irish Protestants,other,state,state,
488,Yanomamo,uncoded,"colony, state",state,
515,Yurok,other,"state, empire",state,
517,Haida,uncoded,state,state,
528,Copper Inuit,other,"colony, state",state,
529,Aleut,other,"empire, chiefdom, state",state,
531,Chukchee,other,"empire, chiefdom, state",state,
533,Ainu,other,"empire, state",state,
536,Manchu,other,"empire, chiefdom, state",empire,
537,Ifugao,other,"colony, state",state,
549,Alorese,other,"colony, state",state,
553,Andamanese,uncoded,"colony, state",state,
555,Semang,other,"colony, state",state,
563,"Gaddi, a Hindu community of the Western Himalayas",other,"colony, state",state,
564,Tribal Christianity (and allied castes) in the Himalayas,other,state,state,
569,Khalka Mongols,other,colony,state,
570,Supreme Master Ching Hai World Society,other,state,state,
580,Nāth Sampradāya,other,"empire, colony, state",state,
586,Kelantanese Thai Religion,other,"colony, state",state,
592,Veerashaivas,other,"empire, colony, state",other,
636,Balinese Śaiva priests (pedanda siwa),other,"chiefdom, colony, state",chiefdom,confirmed
645,"Meo Muslim, Mev, Mewati Muslim",other,"empire, colony, state",other,
646,Lakota Religious Traditions,other,"state, empire",state,
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period",uncoded,"empire, colony, state",other,
674,Aymara,other,state,state,
680,Gujarati Mata Worshipers,other,"colony, state",state,confirmed
686,Popoluca,other,state,state,
712,Huichol,other,state,state,
741,Śākta Hinduism,uncoded,"empire, colony, state",uncoded,email contact (Rachel) not author
752,Haroi,other,"chiefdom, state",other,
755,Uyghur Islam,other,"empire, state",state,
756,"Punjab/Delhi, India",uncoded,"tribe, empire",tribe,email delivery failed
757,Kiribati,other,"unsure, leave as 'other'",other,
760,"Punjab/Delhi, India",uncoded,empire,empire,email delivery failed
761,"Punjab/Delhi, India",uncoded,"empire, colony",empire,email delivery failed
762,"Punjab/Delhi, India",uncoded,"colony, empire, state",state,email delivery failed
765,The Oneida Community,other,state,state,
766,Garo,other,state,state,
770,Thai Forest Tradition,other,keep as 'other',other,confirmed
771,Muscular Christianity,other,keep as 'other',other,
775,Jainism,other,"empire, colony, state",empire,confirmed
777,Syria,uncoded,colony,other,confirmed
778,Syria,uncoded,colony,other,confirmed
779,Syria,uncoded,colony,other,confirmed
781,Syria,uncoded,colony,other,confirmed
782,Syria,uncoded,colony,other,confirmed
783,Upper Egypt: Archaic/Early Dynastic Period,uncoded,chiefdom,chiefdom,confirmed
784,Upper Egypt: Old Kingdom,uncoded,chiefdom,chiefdom,confirmed
785,Upper Egypt: First Intermediate Period,uncoded,chiefdom,chiefdom,confirmed
786,Upper Egypt: Middle Kingdom,uncoded,chiefdom,chiefdom,confirmed
787,Upper Egypt: Second Intermediate Period,uncoded,chiefdom,chiefdom,confirmed
790,Upper Egypt: New Kingdom,uncoded,"chiefdom, empire",chiefdom,confirmed
791,Upper Egypt: Third Intermediate Period,uncoded,chiefdom,chiefdom,confirmed
792,Upper Egypt: Late Period,uncoded,colony,chiefdom,confirmed
793,Upper Egypt: Alexander and the Ptolemies,uncoded,chiefdom,chiefdom,confirmed
799,Upper Egypt: Roman Egypt,uncoded,colony,empire,confirmed
803,Italy: The Catholic Church,uncoded,"unsure, keep uncoded",uncoded,email delivery failed
804,Italy: The Catholic Church,uncoded,"unsure, keep uncoded",uncoded,email delivery failed
805,Italy: The Catholic Church,uncoded,chiefdom,chiefdom,email delivery failed
806,Italy: The Catholic Church,uncoded,state,state,email delivery failed
807,British Isles I: Pre-Roman Britain,uncoded,tribe,tribe,email delivery failed
808,British Isles II: Pre-Theodosian Roman Britain,uncoded,colony,tribe,email delivery failed
809,British Isles III: Pre-Theodosian Roman Britain Continued,uncoded,colony,tribe,email delivery failed
810,British Isles IV: Pre-Theodosian Roman Britain Continued,uncoded,colony,tribe,email delivery failed
811,British Isles V: Christian Roman Britain,uncoded,chiefdom,chiefdom,email delivery failed
814,British Isles VI: Christian Roman Britain,uncoded,chiefdom,chiefdom,email delivery failed
815,British Isles VII: Christian Roman Britain,uncoded,chiefdom,chiefdom,email delivery failed
816,British Paganism,uncoded,"tribe, colony, chiefdom",tribe,email delivery failed
817,Early Medieval British Christianity,uncoded,chiefdom,chiefdom,email delivery failed
818,"West Bengal, India",uncoded,"chiefdom, empire",empire,
819,"West Bengal, India",uncoded,"chiefdom, empire",empire,
820,"West Bengal, India",uncoded,chiefdom,chiefdom,
821,"West Bengal, India",uncoded,"chiefdom, empire, colony",empire,
822,"West Bengal, India",uncoded,colony,state,
823,"West Bengal, India",uncoded,state,state,
824,"Central Macedonia, Greece: Eastern Orthodoxy",uncoded,chiefdom,chiefdom,email delivery failed
825,"Central Macedonia, Greece: Eastern Orthodoxy",uncoded,colony,state,email delivery failed
826,"The Church of Christ, Scientist",other,keep as 'other',other,
827,"Central Macedonia, Greece: Eastern Orthodoxy",uncoded,state,state,email delivery failed
828,Italy: The Franciscan Order,uncoded,state,state,email delivery failed
829,Italy: The Jesuit Order,uncoded,"colony, empire, state",state,email delivery failed
834,The Plum Village Sangha of Thich Nhat Hanh,other,keep as 'other',other,confirmed
835,British Isles: Pre-Roman,uncoded,chiefdom,chiefdom,email delivery failed
836,British Isles: Romano-British,uncoded,colony,tribe,email delivery failed
841,Sa skya,other,"empire, colony",empire,confirmed
851,Sikhism in the United States,other,"state, empire",state,
853,Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),other,"tribe, chiefdom",tribe,confirmed
857,Wesleyanism,other,keep as 'other',other,
860,Kimpa Vita,other,"chiefdom, colony, state",state,
862,Ilm-e-Khshnoom,other,state,state,confirmed
877,The International Network of Engaged Buddhists - INEB,other,state,state,email delivery failed
880,Egyptian Salafism (inluding North Africa and West Asia),other,state,state,confirmed
884,Sub Saharan Africa Pentecostalism,other,state,state,
885,Contemporary West African Vodun,other,"tribe, chiefdom, colony, state",state,
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,other,"empire, state",state,
902,British Isles: Christian,uncoded,colony,chiefdom,email delivery failed
904,Euboea/Central Macedonia: Nicaean-Chalcedonian Christianity,uncoded,"unsure, leave uncoded",uncoded,email delivery failed
905,Euboea/Central Macedonia: Constantinopolitan Chalcedonian Christianity,uncoded,"unsure, leave uncoded",uncoded,email delivery failed
908,Sino-Christian Theology,other,"empire, state",state,
911,Italy: Roman Catholic Christianity,uncoded,"unsure, leave uncoded",uncoded,email delivery failed
914,Tariqa Shadhiliyya,other,"unsure, leave as 'other'",other,
915,Protestantism welcoming People with Disabilities,other,"empire, state",state,confirmed
916,Italy: Roman Catholic Christianity II,uncoded,"unsure, leave uncoded",uncoded,email delivery failed
917,British Isles: Predominantly Celtic Polytheism,uncoded,chiefdom,chiefdom,email delivery failed
922,British Isles: Mixed Roman and British Polytheism,uncoded,colony,tribe,email delivery failed
923,British Isles: Introduction of Early Christianity through the End of Columban/Irish Christianity,uncoded,"colony, chiefdom",chiefdom,email delivery failed
929,Drikung Kagyu,other,"chiefdom, empire, state",empire,confirmed
942,African Methodist Episcopal Church,other,"unsure, leave as 'other'",other,
950,The Religious Society of Friends,other,keep as 'other',other,
953,Sachchai,other,state,state,
955,British Isles: Augustinian/Roman Christianity,uncoded,chiefdom,chiefdom,email delivery failed
956,Iron Age Britain: Mid to Late Pre-Roman Iron Age,uncoded,"unsure, leave uncoded",uncoded,email delivery failed
958,Society of Jesus,other,"empire, state",state,
959,Iron Age Britain: Romano-Celtic Era,uncoded,"unsure, leave uncoded",uncoded,email delivery failed
960,Bön (Bon),other,"chiefdom, empire, state",state,awaiting followup
963,The Knights Templar,other,"chiefdom, empire",empire,
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",other,"empire, colony, state",state,
967,Unitarian Universalism,other,keep as 'other',other,
969,Adi Dravida/Valluva Sakya Buddhism,other,state,state,
971,Gāṇapatya,other,"empire, colony, state",empire,
981,Nation of Islam,other,"empire, state",state,email delivery failed
983,Tibetan and Himalayan Mundane and Landscape Cults,other,"empire, state, colony",empire,awaiting followup
989,Opus Dei,other,"unsure, leave as 'other'",other,
991,Beat Buddhism,other,state,state,
993,Pontifex Maximus and Pontifices (Pontifical College),other,"state, empire",empire,
