"entry_id","entry_tag","entrytag_id","parent_tag_id","level","path","approved"
196,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
196,Ancient Christianity in Rome,730,42,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],true
197,Religious Group,8,,1,Religious Group[8],true
197,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
197,Tibetan Buddhist Traditions,116,14,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],true
197,Geluk sect (dge lugs),117,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],true
198,Religious Group,8,,1,Religious Group[8],true
198,Greek Religions,22,8,2,Religious Group[8]->Greek Religions[22],true
199,Religious Group,8,,1,Religious Group[8],true
199,Mithraism,36,8,2,Religious Group[8]->Mithraism[36],true
199,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
200,Religious Group,8,,1,Religious Group[8],true
200,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
200,Tibetan Buddhist Traditions,116,14,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],true
200,Geluk sect (dge lugs),117,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],true
200,Nyingma sect (rnying ma),119,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Nyingma sect (rnying ma)[119],true
200,Sakya sect (sa skya),121,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Sakya sect (sa skya)[121],true
201,Religious Group,8,,1,Religious Group[8],true
201,Anatolian Religions,10,8,2,Religious Group[8]->Anatolian Religions[10],true
201,Egyptian Religions,20,8,2,Religious Group[8]->Egyptian Religions[20],true
201,Greek Religions,22,8,2,Religious Group[8]->Greek Religions[22],true
201,Mithraism,36,8,2,Religious Group[8]->Mithraism[36],true
201,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
201,Roman State Religions,299,42,3,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299],true
201,Republican Religions,506,299,4,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299]->Republican Religions[506],true
201,Ancient Christianity in Rome,730,42,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],true
201,Diaspora Judaism in Rome,731,42,3,Religious Group[8]->Roman Religious Traditions[42]->Diaspora Judaism in Rome[731],true
201,Greek Religions in Rome,733,42,3,Religious Group[8]->Roman Religious Traditions[42]->Greek Religions in Rome[733],true
201,Roman Private Religions,736,42,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],true
201,Imperial Cult (emperor worship),740,299,4,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299]->Imperial Cult (emperor worship)[740],true
202,Religious Group,8,,1,Religious Group[8],true
202,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
203,Religious Group,8,,1,Religious Group[8],true
203,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
204,Religious Group,8,,1,Religious Group[8],true
204,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
204,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
204,Han Imperial Confucianism,130,128,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Han Imperial Confucianism[130],true
204,Confucian (rujia 儒家) Traditions,131,123,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],true
207,Religious Group,8,,1,Religious Group[8],true
207,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
207,Chinese Buddhist Traditions,383,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],true
209,Religious Group,8,,1,Religious Group[8],true
209,Egyptian Religions,20,8,2,Religious Group[8]->Egyptian Religions[20],true
210,Religious Group,8,,1,Religious Group[8],true
210,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
210,Ancient Christianity in Rome,730,42,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],true
211,Religious Group,8,,1,Religious Group[8],true
211,Egyptian Religions,20,8,2,Religious Group[8]->Egyptian Religions[20],true
212,Religious Group,8,,1,Religious Group[8],true
212,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
213,Religious Group,8,,1,Religious Group[8],true
213,Babi and Baha’i Faiths ,12,8,2,Religious Group[8]->Babi and Baha’i Faiths [12],true
215,Religious Group,8,,1,Religious Group[8],true
215,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
215,Roman State Religions,299,42,3,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299],true
215,Roman Private Religions,736,42,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],true
215,Roman Domestic Cult,738,736,4,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736]->Roman Domestic Cult[738],true
215,Italic Religions,751,8,2,Religious Group[8]->Italic Religions[751],true
216,Religious Group,8,,1,Religious Group[8],true
216,Assyrian Religions,11,8,2,Religious Group[8]->Assyrian Religions[11],true
216,Mesopotamian Religions,34,8,2,Religious Group[8]->Mesopotamian Religions[34],true
216,Sumerian Religions,46,8,2,Religious Group[8]->Sumerian Religions[46],true
216,Akkadian Religions,330,34,3,Religious Group[8]->Mesopotamian Religions[34]->Akkadian Religions[330],true
216,Babylonian Religions,332,34,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],true
216,Old Babylonian Religions,333,34,3,Religious Group[8]->Mesopotamian Religions[34]->Old Babylonian Religions[333],true
217,Religious Group,8,,1,Religious Group[8],true
217,Italic Religions,751,8,2,Religious Group[8]->Italic Religions[751],true
217,Ancient Mediterranean,776,8,2,Religious Group[8]->Ancient Mediterranean[776],true
217,Roman Religions,900,8,2,Religious Group[8]->Roman Religions[900],true
217,Polytheistic,1300,8,2,Religious Group[8]->Polytheistic[1300],true
218,Religious Group,8,,1,Religious Group[8],true
218,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
218,Chinese Common Religions,126,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Common Religions[126],true
218,Daoist Traditions,134,123,3,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134],true
218,Chinese Buddhist Traditions,383,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],true
222,Religious Group,8,,1,Religious Group[8],true
222,Mesoamerican Religions,33,8,2,Religious Group[8]->Mesoamerican Religions[33],true
222,Mayan Religions,340,33,3,Religious Group[8]->Mesoamerican Religions[33]->Mayan Religions[340],true
223,Religious Group,8,,1,Religious Group[8],true
223,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
224,Religious Group,8,,1,Religious Group[8],true
224,Germanic Religions,21,8,2,Religious Group[8]->Germanic Religions[21],true
225,Religious Group,8,,1,Religious Group[8],true
225,Indic Religious Traditions,510,8,2,Religious Group[8]->Indic Religious Traditions[510],true
225,Hinduism,566,510,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],true
225,Vaiṣṇava Traditions,644,566,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644],true
227,Religious Group,8,,1,Religious Group[8],true
227,Indic Religious Traditions,510,8,2,Religious Group[8]->Indic Religious Traditions[510],true
227,Hinduism,566,510,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],true
227,Hindu Śākta traditions,643,566,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Śākta traditions[643],true
227,Bhakti traditions,645,566,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Bhakti traditions[645],true
228,Religious Group,8,,1,Religious Group[8],true
228,Korean Religions,28,8,2,Religious Group[8]->Korean Religions[28],true
228,Korean Confucianism,356,28,3,Religious Group[8]->Korean Religions[28]->Korean Confucianism[356],true
230,Religious Group,8,,1,Religious Group[8],true
230,Assyrian Religions,11,8,2,Religious Group[8]->Assyrian Religions[11],true
230,Mesopotamian Religions,34,8,2,Religious Group[8]->Mesopotamian Religions[34],true
230,Babylonian Religions,332,34,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],true
231,Religious Group,8,,1,Religious Group[8],true
231,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
231,Roman Private Religions,736,42,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],true
232,Religious Group,8,,1,Religious Group[8],true
232,Egyptian Religions,20,8,2,Religious Group[8]->Egyptian Religions[20],true
233,Religious Group,8,,1,Religious Group[8],true
233,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
233,Egyptian Religions,20,8,2,Religious Group[8]->Egyptian Religions[20],true
234,Religious Group,8,,1,Religious Group[8],true
234,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
236,Religious Group,8,,1,Religious Group[8],true
236,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
237,Religious Group,8,,1,Religious Group[8],true
237,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
238,Religious Group,8,,1,Religious Group[8],true
238,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
239,Religious Group,8,,1,Religious Group[8],true
239,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
240,Religious Group,8,,1,Religious Group[8],true
240,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
240,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
244,Religious Group,8,,1,Religious Group[8],true
244,Japanese Religions,26,8,2,Religious Group[8]->Japanese Religions[26],true
244,Japanese Confucianism,410,26,3,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410],true
244,Japanese Neo-Confucianism,411,410,4,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410]->Japanese Neo-Confucianism[411],true
245,Religious Group,8,,1,Religious Group[8],true
245,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
245,Confucian (rujia 儒家) Traditions,131,123,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],true
245,Pre-Qin Confucian Traditions,132,131,4,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131]->Pre-Qin Confucian Traditions[132],true
246,Religious Group,8,,1,Religious Group[8],true
246,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
247,Religious Group,8,,1,Religious Group[8],true
247,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
248,Religious Group,8,,1,Religious Group[8],true
248,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
248,Chinese Buddhist Traditions,65,14,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],true
248,Chan Buddhism (chan zong 禪宗),66,65,4,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65]->Chan Buddhism (chan zong 禪宗)[66],true
249,Religious Group,8,,1,Religious Group[8],true
249,Shamanism,904,8,2,Religious Group[8]->Shamanism[904],true
250,Religious Group,8,,1,Religious Group[8],true
250,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
250,Chinese Buddhist Traditions,65,14,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],true
250,Tiantai school (tiantai zong 天台宗),77,65,4,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65]->Tiantai school (tiantai zong 天台宗)[77],true
252,Religious Group,8,,1,Religious Group[8],true
252,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
253,Religious Group,8,,1,Religious Group[8],true
253,African Religions,9,8,2,Religious Group[8]->African Religions[9],true
255,Religious Group,8,,1,Religious Group[8],true
255,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
256,Religious Group,8,,1,Religious Group[8],true
256,Roman Religious Traditions,42,8,2,Religious Group[8]->Roman Religious Traditions[42],true
256,Italic Religions,734,42,3,Religious Group[8]->Roman Religious Traditions[42]->Italic Religions[734],true
256,Ancient Mediterranean,776,8,2,Religious Group[8]->Ancient Mediterranean[776],true
257,Religious Group,8,,1,Religious Group[8],true
257,Mesoamerican Religions,33,8,2,Religious Group[8]->Mesoamerican Religions[33],true
257,Zapotec Religion,498,33,3,Religious Group[8]->Mesoamerican Religions[33]->Zapotec Religion[498],true
258,Religious Group,8,,1,Religious Group[8],true
258,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
258,Catholic,153,18,3,Religious Group[8]->Christian Traditions[18]->Catholic[153],true
258,'Roman' Catholic,156,153,4,Religious Group[8]->Christian Traditions[18]->Catholic[153]->'Roman' Catholic[156],true
258,Reformed/Presbyterian/Congregational/United,181,18,3,Religious Group[8]->Christian Traditions[18]->Reformed/Presbyterian/Congregational/United[181],true
263,Religious Group,8,,1,Religious Group[8],true
263,Catholic,153,18,3,Religious Group[8]->Christian Traditions[18]->Catholic[153],true
264,Religious Group,8,,1,Religious Group[8],true
264,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
264,Catholic,153,18,3,Religious Group[8]->Christian Traditions[18]->Catholic[153],true
264,'Roman' Catholic,156,153,4,Religious Group[8]->Christian Traditions[18]->Catholic[153]->'Roman' Catholic[156],true
282,Religious Group,8,,1,Religious Group[8],true
282,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
282,Catholic,153,18,3,Religious Group[8]->Christian Traditions[18]->Catholic[153],true
282,'Roman' Catholic,156,153,4,Religious Group[8]->Christian Traditions[18]->Catholic[153]->'Roman' Catholic[156],true
284,Religious Group,8,,1,Religious Group[8],true
284,Oceanic Religions,40,8,2,Religious Group[8]->Oceanic Religions[40],true
287,Religious Group,8,,1,Religious Group[8],true
287,Mithraism,36,8,2,Religious Group[8]->Mithraism[36],true
288,Religious Group,8,,1,Religious Group[8],true
288,Mesoamerican Religions,33,8,2,Religious Group[8]->Mesoamerican Religions[33],true
289,Religious Group,8,,1,Religious Group[8],true
289,Oceanic Religions,40,8,2,Religious Group[8]->Oceanic Religions[40],true
289,Polynesia,315,40,3,Religious Group[8]->Oceanic Religions[40]->Polynesia[315],true
294,Religious Group,8,,1,Religious Group[8],true
294,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
294,Daoist Traditions,134,123,3,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134],true
294,Study of the Mysterious (xuanxue 玄學),139,134,4,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134]->Study of the Mysterious (xuanxue 玄學)[139],true
299,Religious Group,8,,1,Religious Group[8],true
299,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
299,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
299,Shang Religion / Western Zhou Religion,129,128,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],true
300,Religious Group,8,,1,Religious Group[8],true
300,Canaanite Religions,15,8,2,Religious Group[8]->Canaanite Religions[15],true
308,Religious Group,8,,1,Religious Group[8],true
308,Assyrian Religions,11,8,2,Religious Group[8]->Assyrian Religions[11],true
308,Sumerian Religions,46,8,2,Religious Group[8]->Sumerian Religions[46],true
309,Religious Group,8,,1,Religious Group[8],true
309,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
309,Daoist Traditions,134,123,3,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134],true
309,Chinese Buddhist Traditions,383,123,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],true
310,Religious Group,8,,1,Religious Group[8],true
310,Native American (North American) Religions,38,8,2,Religious Group[8]->Native American (North American) Religions[38],true
316,Religious Group,8,,1,Religious Group[8],true
316,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
316,Catholic,153,18,3,Religious Group[8]->Christian Traditions[18]->Catholic[153],true
316,'Roman' Catholic,156,153,4,Religious Group[8]->Christian Traditions[18]->Catholic[153]->'Roman' Catholic[156],true
317,Religious Group,8,,1,Religious Group[8],true
317,Bön (Tibetan: bon),13,8,2,Religious Group[8]->Bön (Tibetan: bon)[13],true
317,Buddhist Traditions,14,8,2,Religious Group[8]->Buddhist Traditions[14],true
317,Tibetan Buddhist Traditions,116,14,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],true
317,Geluk sect (dge lugs),117,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],true
317,Nyingma sect (rnying ma),119,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Nyingma sect (rnying ma)[119],true
317,Kagyü sect (bka’ brgyud),120,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Kagyü sect (bka’ brgyud)[120],true
317,Sakya sect (sa skya),121,116,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Sakya sect (sa skya)[121],true
325,Religious Group,8,,1,Religious Group[8],true
325,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
325,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
325,Han Imperial Confucianism,130,128,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Han Imperial Confucianism[130],true
325,Confucian (rujia 儒家) Traditions,131,123,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],true
337,Religious Group,8,,1,Religious Group[8],true
337,South American Religions,508,8,2,Religious Group[8]->South American Religions[508],true
337,Inca Religion,509,508,3,Religious Group[8]->South American Religions[508]->Inca Religion[509],true
338,Religious Group,8,,1,Religious Group[8],true
338,Native American (North American) Religions,38,8,2,Religious Group[8]->Native American (North American) Religions[38],true
338,Kwakiutal Religions,320,38,3,Religious Group[8]->Native American (North American) Religions[38]->Kwakiutal Religions[320],true
341,Religious Group,8,,1,Religious Group[8],true
341,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
342,Religious Group,8,,1,Religious Group[8],true
342,Christian Traditions,18,8,2,Religious Group[8]->Christian Traditions[18],true
343,Religious Group,8,,1,Religious Group[8],true
343,Oceanic Religions,40,8,2,Religious Group[8]->Oceanic Religions[40],true
344,Religious Group,8,,1,Religious Group[8],true
348,Religious Group,8,,1,Religious Group[8],true
348,Chinese Religion,123,8,2,Religious Group[8]->Chinese Religion[123],true
348,Chinese State Religion,128,123,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],true
348,Shang Religion / Western Zhou Religion,129,128,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],true
348,Yellow and Yangzi Rivers Region,1251,8,2,Religious Group[8]->Yellow and Yangzi Rivers Region[1251],true
354,Religious Group,8,,1,Religious Group[8],true
354,Mesopotamian Religions,34,8,2,Religious Group[8]->Mesopotamian Religions[34],true
354,Babylonian Religions,332,34,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],true
