"entry_id","entry_name","poll_id","poll_name","description","year_from","year_to","region_id","expert_id","expert_name","date_created","date_modified","data_source"
186,Buddhism (Late Ming),35,Religious Group (v5),,1590,1644,138,22,Beverley Foulks McGuire,2015-02-04 06:37:13.108 +0100,2017-11-17 14:55:22.572 +0100,Database of Religious History (DRH)
187,Chinese State Religion (Shang and Western Zhou),35,Religious Group (v5),,-1750,-850,7,17,Lothar von Falkenhausen,2015-02-11 00:40:37.114 +0100,2017-11-17 14:55:22.573 +0100,Database of Religious History (DRH)
189,Israelite Religion,35,Religious Group (v5),Israelite Religion,-1200,-515,44,40,Shawn Flynn,2015-02-16 05:16:19.000 +0100,2017-11-17 14:55:22.574 +0100,Database of Religious History (DRH)
190,Sri Lankan Buddhism (1948-Present),35,Religious Group (v5),,1948,2015,488,151,Dan Kent,2015-02-28 19:08:48.176 +0100,2017-11-17 14:55:22.576 +0100,Database of Religious History (DRH)
191,Early Khalsa Sikhs,35,Religious Group (v5),,1699,1799,85,61,Julie Vig,2015-03-02 22:21:39.472 +0100,2017-11-17 14:55:22.578 +0100,Database of Religious History (DRH)
192,Fijian Religion (pre-conversion),35,Religious Group (v5),Fijian Religion (pre-conversion),1835,1854,32,42,John Shaver,2015-03-03 00:00:57.000 +0100,2017-11-17 14:55:22.579 +0100,Database of Religious History (DRH)
193,Fijian Religion (contemporary),35,Religious Group (v5),Fijian Religion (contemporary),2000,2013,32,42,John Shaver,2015-03-04 07:15:19.000 +0100,2017-11-17 14:55:22.580 +0100,Database of Religious History (DRH)
195,Shakta Religion,35,Religious Group (v5),,500,1100,43,57,James Pierce,2015-03-04 20:27:02.754 +0100,2022-02-10 18:12:34.066 +0100,Database of Religious History (DRH)
196,Pauline Christianity (ca. 45-60 CE),35,Religious Group (v5), ,45,60,479,4,Fred Tappenden,2015-03-18 18:55:48.000 +0100,2017-11-17 14:55:22.590 +0100,Database of Religious History (DRH)
197,Gönlung Monastery (dgon lung byams pa gling),35,Religious Group (v5),,1604,1958,490,5,Brenton Sullivan,2015-03-24 00:34:30.020 +0100,2017-11-17 14:55:22.591 +0100,Database of Religious History (DRH)
198,Religion in Attica (600-300BCE),35,Religious Group (v5),,-600,-300,50,60,Roger Beck,2015-03-31 23:47:43.634 +0200,2017-11-17 14:55:22.592 +0100,Database of Religious History (DRH)
199,Mithraism,35,Religious Group (v5), ,100,400,132,60,Roger Beck,2015-04-02 00:18:50.701 +0200,2018-03-08 02:15:21.882 +0100,Database of Religious History (DRH)
200,Nechung Cult,35,Religious Group (v5),,1650,1850,96,113,Christopher Bell,2015-04-02 01:24:06.551 +0200,2017-11-17 14:55:22.602 +0100,Database of Religious History (DRH)
201,Mediterranean,35,Religious Group (v5),,-500,500,6,125,Andreas Bendlin,2015-04-02 01:39:36.194 +0200,2017-11-17 14:55:22.603 +0100,Database of Religious History (DRH)
202,Early Zhou Religion,35,Religious Group (v5),,-1046,-771,79,79,Constance Cook,2015-04-02 02:11:36.402 +0200,2017-11-17 14:55:22.604 +0100,Database of Religious History (DRH)
203,Pre-imperial Chu Religion,35,Religious Group (v5),,-790,-223,78,79,Constance Cook,2015-04-02 02:24:57.587 +0200,2017-11-17 14:55:22.612 +0100,Database of Religious History (DRH)
204,Han Confucianism,35,Religious Group (v5),,-206,220,104,130,Mark Csikszentmihalyi,2015-04-07 05:38:14.802 +0200,2017-11-17 14:55:22.614 +0100,Database of Religious History (DRH)
207,Buddhism in the Tang,35,Religious Group (v5),,600,1000,482,132,Victor Mair,2015-04-08 05:36:00.405 +0200,2017-11-17 14:55:22.616 +0100,Database of Religious History (DRH)
209,Ancient Egypt,35,Religious Group (v5),,-2000,-30,136,123,Joseph Manning,2015-04-08 06:38:58.295 +0200,2018-01-15 06:50:26.397 +0100,Database of Religious History (DRH)
210,Jesus Associations and the Synoptic Gospels,35,Religious Group (v5),,50,150,6,126,Dietmar Neufeld,2015-04-08 18:19:38.281 +0200,2017-11-17 14:55:22.624 +0100,Database of Religious History (DRH)
211,Amarna Religion,35,Religious Group (v5),"Tell el-Amarna is the modern name for the ancient city, Akhetaten. It was created by Amenhotep IV, who would later change his name to Akhenaten. This ruler emphasized the role of the god Aten, promoting the belief that this god was primary among all other gods in ancient Egypt, and presented himself as the god's one true prophet and intermediary. This meant that the other Egyptians were cut off from direct access to their gods. At this time in Egyptian history, the god Amun had become particularly prominent, and Akhenaten's workers moved through Egypt erasing the name of Amun (as well as his divine family members, Mut and Khonsu). Aten is the solar disk, and so the religion of this period, often referred to as Amarna Religion, emphasizes solar elements. Access to light and sun were central to the practice of Amarna Religion, including leaving temple spaces open. This period is a dramatic and short break from the normal state of affairs in ancient Egypt. After Akhenaten's death, traditional religion was returned to Egypt, with considerable efforts to erase any references to Akhenaten, or, ""that fallen foe from Amarna"". The city of Akhetaten was abandoned, which has left it well preserved for modern excavators. In modern periods, Amarna Religion has often been seen as the earliest monotheistic religion, though this is an oversimplification of at least religious practice at this time. While Akhenaten promoted the Aten as the most important god, and then the only god, there is significant evidence for the worship of other gods at this time, particularly in domestic contexts, including at Amarna. There is therefore evidence that not all Egyptians followed the ideas put forward by Akhenaten. Sigmund Freud, however, who was an avid reader of the Egyptologist James Henry Breasted, identified Amarna as the source of biblical monotheism, which is a big reason that this period is so well known by the public.",-1350,-1320,34,707,Caroline Arbuckle,2015-04-08 18:45:44.060 +0200,2022-03-11 19:18:39.657 +0100,Database of Religious History (DRH)
212,Warring States (China) Religion,35,Religious Group (v5),,-481,-206,467,31,Armin Selbitschka,2015-04-08 19:49:35.725 +0200,2017-11-17 14:55:22.627 +0100,Database of Religious History (DRH)
216,Mesopotamia,35,Religious Group (v5),,-3200,-612,476,112,Karen Sonik,2015-04-21 19:11:31.843 +0200,2017-11-17 14:55:22.632 +0100,Database of Religious History (DRH)
217,Roman private religion,35,Religious Group (v5),,-202,-44,498,157,Celia Schultz,2015-04-23 15:18:15.430 +0200,2023-03-21 19:40:41.092 +0100,Database of Religious History (DRH)
222,Late Classic Lowland Maya,35,Religious Group (v5),"This entry describes the features of the religion and cosmology of the Late Classic Lowland Maya civilization. The answers are derived from a literature review conducted by Chris Carleton, a PhD candidate at Simon Fraser University. 

I often had to form an argument for a given answer on the basis of information from one or more references, inferring a given answer from the source material. The sources are generally given in the comments for a given answer if they differ from the sources listed at the top of the entry in the references section.",600,900,56,26,Chris Carleton,2015-04-30 02:02:31.000 +0200,2017-11-17 14:55:22.637 +0100,Database of Religious History (DRH)
224,Old Norse Fornsed,35,Religious Group (v5),,600,1100,31,38,Neil Price,2015-05-04 19:49:20.232 +0200,2017-11-17 14:55:22.640 +0100,Database of Religious History (DRH)
227,Hindu Goddess Worship in Northwest India—Modern Period,35,Religious Group (v5),,1980,2000,481,128,Kathleen Erndl,2015-05-06 19:41:55.895 +0200,2017-11-17 14:55:22.643 +0100,Database of Religious History (DRH)
228,Late Chosŏn Korea,35,Religious Group (v5),,1600,1900,42,168,Guy Shababo,2015-05-12 20:07:01.878 +0200,2017-11-17 14:55:22.644 +0100,Database of Religious History (DRH)
230,Religion in Mesopotamia,35,Religious Group (v5),,-3300,-539,494,112,Karen Sonik,2015-05-23 20:57:29.533 +0200,2017-11-17 14:55:22.645 +0100,Database of Religious History (DRH)
231,Roman private religion,35,Religious Group (v5),,-600,-202,540,157,Celia Schultz,2015-06-04 20:37:17.360 +0200,2017-11-17 14:55:22.646 +0100,Database of Religious History (DRH)
232,Pre-Dynastic Lower Egypt,35,Religious Group (v5),Pre-Dynastic Lower Egypt,-5050,-3050,529,26,Chris Carleton,2015-06-05 21:39:56.000 +0200,2017-12-11 16:55:04.678 +0100,Database of Religious History (DRH)
233,Khartoum Neolithic,35,Religious Group (v5),Khartoum Neolithic,-3750,-1600,530,26,Chris Carleton,2015-06-05 22:44:47.000 +0200,2017-12-11 16:54:53.057 +0100,Database of Religious History (DRH)
234,East African Neolithic I,35,Religious Group (v5),East African Neolithic,-3050,750,533,26,Chris Carleton,2015-06-06 22:05:27.000 +0200,2018-05-07 22:56:17.728 +0200,Database of Religious History (DRH)
236,East African Neolithic II,35,Religious Group (v5),East African Neolithic,-1050,750,532,26,Chris Carleton,2015-06-07 04:36:27.000 +0200,2017-12-11 16:55:26.088 +0100,Database of Religious History (DRH)
237,Central African Neolithic,35,Religious Group (v5),Central African Neolithic,-2950,-50,536,26,Chris Carleton,2015-06-16 20:06:31.000 +0200,2017-12-11 16:54:14.863 +0100,Database of Religious History (DRH)
238,Central African Iron Age,35,Religious Group (v5),Central African Iron Age,-400,1450,537,26,Chris Carleton,2015-06-16 21:21:42.000 +0200,2017-12-11 16:54:24.698 +0100,Database of Religious History (DRH)
239,North African Proto-Historic,35,Religious Group (v5),North African Proto-Historic,-2050,-1050,526,26,Chris Carleton,2015-06-16 23:05:30.000 +0200,2017-12-11 16:53:52.008 +0100,Database of Religious History (DRH)
240,Late Medieval Chinese State Religion,35,Religious Group (v5),,775,960,1443,53,Michael Hoeckelmann,2015-06-23 07:00:00.000 +0200,2022-02-10 18:08:27.325 +0100,Database of Religious History (DRH)
244,Early Tokugawa Neo-Confucianism,35,Religious Group (v5),,1600,1700,41,86,Jeffrey Newmark,2015-07-17 07:00:00.000 +0200,2017-11-17 14:55:22.658 +0100,Database of Religious History (DRH)
245,Warring States Confucian Thought,35,Religious Group (v5),,-450,-221,81,8,Edward Slingerland,2015-07-17 07:00:00.000 +0200,2017-11-17 14:55:22.659 +0100,Database of Religious History (DRH)
246,Acacus Mountains and Tassili n'Ajjer Neolithic,35,Religious Group (v5),Acacuc Mountains and Tassili n'Ajjer Neolithic,-6050,-1050,525,26,Chris Carleton,2015-07-22 07:00:00.000 +0200,2017-12-11 16:54:34.815 +0100,Database of Religious History (DRH)
247,Air and Tenere Neolithic,35,Religious Group (v5),Air and Tenere Neolithic,-4050,-1050,525,26,Chris Carleton,2015-07-22 07:00:00.000 +0200,2017-12-11 16:54:43.706 +0100,Database of Religious History (DRH)
249,Tyva Republic (Animism-Totemism-Shamanism),35,Religious Group (v5),,1990,2013,52,16,Benjamin Purzycki,2015-08-12 07:00:00.000 +0200,2022-02-10 18:03:19.031 +0100,Database of Religious History (DRH)
250,"Tiantai Buddhism (Song Dynasty, Liangzhe Circuit)",35,Religious Group (v5),,960,1279,546,33,Zhongwei Wu,2015-08-13 07:00:00.000 +0200,2017-11-17 14:55:22.665 +0100,Database of Religious History (DRH)
252,Wilton,35,Religious Group (v5),Wilton,-8050,-50,512,26,Chris Carleton,2015-08-14 07:00:00.000 +0200,2019-01-29 19:53:32.397 +0100,Database of Religious History (DRH)
255,Talismanic Religion,35,Religious Group (v5),,-200,500,130,36,Jue Guo,2015-08-27 07:00:00.000 +0200,2017-11-17 14:55:22.669 +0100,Database of Religious History (DRH)
256,Etruscan Religion,35,Religious Group (v5),-,-10,-1,498,191,Massimiliano Di Fazio,2015-08-27 07:00:00.000 +0200,2023-03-22 02:51:19.352 +0100,Database of Religious History (DRH)
257,Classic Zapotec,35,Religious Group (v5),,250,850,550,205,Gary Feinman,2015-09-01 07:00:00.000 +0200,2017-11-17 14:55:22.672 +0100,Database of Religious History (DRH)
263,Irish Catholicism,35,Religious Group (v5),Irish Catholicism,2000,2015,554,207,Conn Herriott,2015-10-20 07:00:00.000 +0200,2019-01-29 19:36:14.627 +0100,Database of Religious History (DRH)
284,Yolngu religion,35,Religious Group (v5),,-3500,2015,567,262,Howard and Frances Morphy,2015-12-01 07:00:00.000 +0100,2017-11-17 14:55:22.678 +0100,Database of Religious History (DRH)
287,Mithraism,35,Religious Group (v5), ,100,400,132,264,Julia Hurley,2016-01-20 07:00:00.000 +0100,2018-03-08 02:16:31.946 +0100,Database of Religious History (DRH)
294,Xuanxue 玄學,35,Religious Group (v5),"""Arcane learning” [xuanxue] was the dominant discourse of the 3rd to the 6th centuries CE in China, which not only linked essential features of Daoist metaphysics with Confucian morality and political philosophy to create a new world view, but also served as the basis for how concepts of Buddhism were received and developed in China. Later, such concepts and terminology made their way, either directly or via Buddhism, into the formulation of Neo-Confucianism during the Song era (10th-13th centuries CE). Adherents of the xuanxue tradition such as Wang Bi and Guo Xiang are usually referred to in contemporary and later Chinese sources as belonging to the ""Daojia"" (""Men of Dao."" An older term for this movement, ""Neo-Daoism,"" is now considered misleading, since it suggest that xuanxue is primarily a renewal of the pre-Han thought of the Laozi aand Zhuangzi and fails to account for the amalgamation of that tradition of thought with many tenets of Confucianism. Xuanxue thinkers also belong more to the ""philosophical Daoism"" camp than to the ""religious Daoism"" tradition, though distinctions between the two are often ambigious and much interaction was occurring during the age of xuanxue dominance in intellectual and spiritual life. Moreover, major thinkers such as Wang Bi and Guo Xiang seem never to have engaged in such Daoist religious activities as alchemy, hygiene, magic, religious ritual, or any quest for ""transcendence"" or ""immortality"" (xian). Instead, xuanxue thinkers might also be called ""Dao scholastics"" and their tradition of thought as ""School of the Dao."" Xuanxue thinkers varied significantly in their beliefs, and the most important distinction is exemplified by how Wang Bi and Guo Xiang thought of the Dao. Whereas both regarded the Dao as a kind of blueprint or program for the generation, properties and behavior of everything, Wang Bi thought that the Dao was both transcendent to and imminent in things, Guo Xiang rejected this completely and insisted that the Dao was only immanent and had no existence apart from things. Guo was thus a materialist-monist at complete odds with Wang, who believed that the Dao was transcendent both chronologically to the existence of things at the beginning of time and also transcendent in the sense that it had a non-material existence, existing everywhere both transcendent to and imminent in all things.",200,600,574,230,Richard Lynn,2016-01-24 07:00:00.000 +0100,2022-04-05 23:29:29.949 +0200,Database of Religious History (DRH)
299,Shang State Religion,35,Religious Group (v5),Shang State Religion based on the knowledge of Robert Eno and entered into the database by Edward Slingerland.,-1250,-1046,7,8,Edward Slingerland,2016-01-27 07:00:00.000 +0100,2017-11-17 14:55:22.686 +0100,Database of Religious History (DRH)
300,Israelite Religion,35,Religious Group (v5),,-1200,-515,44,207,Conn Herriott,2016-02-01 07:00:00.000 +0100,2017-11-17 14:55:22.687 +0100,Database of Religious History (DRH)
308,Neo-Assyrian Scholars,35,Religious Group (v5),,-900,-501,582,297,Anne-Caroline Rendu Loisel,2016-02-02 07:00:00.000 +0100,2017-11-17 14:55:22.688 +0100,Database of Religious History (DRH)
310,Aztec Imperial Core,35,Religious Group (v5),,1325,1519,585,283,David  Carballo,2016-02-21 07:00:00.000 +0100,2017-11-17 14:55:22.691 +0100,Database of Religious History (DRH)
325,Religion at Mawangdui,35,Religious Group (v5),,-193,-168,598,309,Jesse Chapman,2016-04-11 07:00:00.000 +0200,2017-11-17 14:55:22.695 +0100,Database of Religious History (DRH)
337,Inca,35,Religious Group (v5),Inca empire in pre-Columbian South America,1300,1550,400,332,Charles Stanish,2016-05-31 07:00:00.000 +0200,2017-11-17 14:55:22.696 +0100,Database of Religious History (DRH)
338,Kwakwaka'wakw Indigenous Canadian Religion,35,Religious Group (v5),"A Canadian Northwest Coast Indigenous group, part of a larger meta-tradition often simply referred to as the ""Pacific Northwest Coast People"", that stretches along the west coast of North America from Alaska to the Juan de Fuca Strait.",1800,1950,608,26,Chris Carleton,2016-06-02 07:00:00.000 +0200,2017-11-17 14:55:22.697 +0100,Database of Religious History (DRH)
341,Pauline Christianity,35,Religious Group (v5),Fill in with merge,45,60,479,335,Andrew Tobolowsky,2016-06-04 07:00:00.000 +0200,2017-11-17 14:55:22.699 +0100,Database of Religious History (DRH)
342,Jesus Associations and the Synoptic Gospels,35,Religious Group (v5),Merge later,50,150,6,335,Andrew Tobolowsky,2016-06-04 07:00:00.000 +0200,2017-11-17 14:55:22.700 +0100,Database of Religious History (DRH)
348,Yanshi Shangcheng,35,Religious Group (v5),"A community of people who lived together in a walled settlement, sharing common practices. Inside the outer city walls, there were discrete neighborhoods and districts of people, such as artisans and elites. People across the settlement seem to have shared common ritual practices, such as human sacrifice and feasting, which are observed through their material residues. Since there are no written records from this prehistoric urban settlement, it is difficult to know how people defined their communities and whether ritual practices were codified as a formal religion. It is yet unclear whether there was a state religion, or whether the ritual practices were based on longstanding traditions shared across this hierarchical society.",-1600,-1365,613,307,Katrinka Reinhart,2016-06-24 07:00:00.000 +0200,2021-09-29 20:36:47.958 +0200,Database of Religious History (DRH)
354,Priests and Scholars of Hellenistic Uruk,35,Religious Group (v5),The cuneiform scholars of the Hellenistic period attached to the temples in the city of Uruk in southern Mesopotamia.  These scholars were both religious specialist and highly trained scholars of cuneiform knowledge.,-330,-125,640,320,M. Willis Monroe,2016-08-11 07:00:00.000 +0200,2020-12-18 19:50:19.800 +0100,Database of Religious History (DRH)
355,Paul the Apostle,35,Religious Group (v5),"Paul was a well-educated (i.e. elite) Jewish Pharisee who understood the Galilean teacher Jesus of Nazareth to be the ""Christ"" or Messiah predicted in the Hebrew Bible. He traveled throughout the Mediterranean, primarily to urban hubs, offering his unique interpretation of the Jewish scriptures, what he called ""pneumatic demonstrations,"" and details of his divinatory experiences to those with means to sponsor him as a religious specialist and self-styled ""apostle."" After leaving these urban areas, he would continue contact via formal letter writing. Some of these letters still survive and constitute our evidence for Paul's efforts. The degree to which the groups to whom he writes were bounded and cohesive is debated by scholars. These letters have also been preserved somewhat idiosyncratically and represent hundreds of years of editing and translation by various parties.",50,60,6,279,Robyn Walsh,2016-08-14 07:00:00.000 +0200,2018-05-20 03:45:49.176 +0200,Database of Religious History (DRH)
358,"16th-17th c. Gauḍīya Vaiṣṇava Tradition",35,Religious Group (v5),This group worships Kṛṣṇa as the supreme deity and exclusive object of devotion.,1500,1700,620,343,Travis Chilcott,2016-09-08 07:00:00.000 +0200,2017-12-12 21:52:30.414 +0100,Database of Religious History (DRH)
361,Classical Greek Religion,35,Religious Group (v5),Religious beliefs in Classical Greece as described in the sources listed with this entry.,-500,-300,588,334,Source: Osborne et al.,2016-09-15 07:00:00.000 +0200,2017-11-17 14:55:22.719 +0100,Database of Religious History (DRH)
364,Chittagong Plain Buddhists,35,Religious Group (v5),"Currently over one million Buddhists from diverse ethnic backgrounds live in Bangladesh. Many of them share the same ethnicity and language with Bengali Muslims and Hindus. They have been living in rural villages mainly in the Chittagong Plain District Bangladesh. On the other hand, Kolkata, the capital city of West Bengal in India, has become home for the largest Chittagong Plain Buddhist population outside Bangladesh. As part of the South Asian Buddhist revival movement in the late 19th and early 20th centuries, a few Buddhist families from Chittagong settled in Kolkata. They established the Bauddha Dharmankur Sabha (Bengal Buddhist Association) in 1891. More Chittagong Plain Buddhists joined the association during the 1947 India-Pakistan partition as well as at the 1971 Bangladesh’s independence. Currently a significant number of Chittagong Plain Buddhists live in West Bengal as well as in neighbouring states i.e., Tripura, Assam and Meghalaya.",1860,2010,634,356,Mitra Barua,2016-09-27 07:00:00.000 +0200,2017-11-17 14:55:22.722 +0100,Database of Religious History (DRH)
374,Non-dual Śaiva Tantra,35,Religious Group (v5),"Non-dual Śaiva Tantra is an exegetical tradition that thrived in Kashmir from the 8th to 13th centuries and has left a lasting impression on Śaiva Tantra into today. The teachings reached their pinnacle with the work of Abhinavagupta, who combined mysticism and metaphysics into a cohesive system focused on mantra, meditation, and ritual practice in order to allow for the re-cognition of the self and the divine.",800,1600,496,361,Patricia Sauthoff,2016-10-03 07:00:00.000 +0200,2017-11-17 14:55:22.727 +0100,Database of Religious History (DRH)
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra,35,Religious Group (v5),"Bahinabai Chaudhari, popularly remembered as Bahinai, was born in an agrarian village in the Jalgaon district of Maharashtra. She had three sisters and three brothers and was married off at the age of 13 to a Vatandar (landowning farmer) - Nathuji Chaudhari. Nathuji was 30 when he married Bahinai; Bahinai was 30 when she was widowed. 

Bahinai could not read or write. She spent most of her life toiling in farms and kitchens; as a widow, she did the same with the additional burden of clearing her husband’s financial debt. In this context of everyday labor, Bahinai sang a genre of song called ovi - short, rhyming, rhythmic couplets. She sang in the Khandeshi-Varhadi dialect of Marathi (also called Ahirani). Her songs were preserved and published posthumously by her son, Sopandev, and have since been a topic of academic writing and popular representation in films and school textbooks. 

Of the many themes that these songs address, Bahinai's devotion and love (bhakti) for Vitthal (an avatar of Krishna worshipped by Varkaris) is persistent. I, therefore, think that exploring her performance tradition in the disciplinary context of religion could raise important questions - what were the different ways of worshipping Vitthal in Bahinai's immediate context? Why did she sing ovis in the midst of everyday labor like grinding grain and threshing wheat? Are these activities 'religious' or 'folk' or both or neither? Do larger categories like Hinduism elucidate Bahinai's songs at all? And what are the gendered aspects of this genre - in terms of its history and contemporary practice?

The following questionnaire is a rudimentary attempt to address these questions.",1880,1951,814,362,Rohini Shukla,2016-10-05 07:00:00.000 +0200,2023-03-26 06:21:05.381 +0200,Database of Religious History (DRH)
381,Sikhism: Guru Nanak to Guru Arjan,35,Religious Group (v5),"The Early Sikh Community as created by Guru Nanak and lead by Gurus Angad, Amar Das, Ram Das, and Arjan.",1469,1606,481,346,Toby Braden Johnson,2016-10-18 07:00:00.000 +0200,2017-11-17 14:55:22.734 +0100,Database of Religious History (DRH)
383,Varkaris,35,Religious Group (v5),"Varkari is a group of Vaishnava Hindus in the state of Maharashtra in India. God Viththala, an incarnation of Krishna at Pandharpur in Solapur district is their principal deity. The word Varkari means pilgrim, so the people going for pilgrimage to Pandharpur came to be known as Varkaris. Reference to the pilgrimage to Pandharpur are found in the Marathi Bhakti literature that flourished 13th century onward.
Medieval Bhakti movement of India had brought certain changes in the Hindu religious practices and also made a substantial  contribution to the vernacular literature. Dnyaneshwara and Namdeva in  the 13-14th  century are considered as a pioneer of this movement in Maharashtra. They were followed by many saints like Chokhamela, Eaknath and Tukaram from 13th to 17th century. The devotional songs composed by them are still sung and played in the houses and at religious congregations of the Hindus of Maharashtra. The movement also provided platform to subalterns.",1200,1700,649,354,Ravi Khangai,2016-10-25 07:00:00.000 +0200,2017-11-17 14:55:22.737 +0100,Database of Religious History (DRH)
386,Kapingamarangi,35,Religious Group (v5),"The people of Kapingamarangi are Polynesian outliers, located in what are now the Federated States of Micronesia. Kapingamarangi is an atoll made up of a central lagoon and an arc of islets with a maximum elevation of just 5 meters above seal level. Traditionally the population was constrained by resources to around 300-400 people who formed a single political community.",1877,1877,650,281,Joseph Watts,2016-11-04 06:00:00.000 +0100,2023-03-28 17:40:52.089 +0200,Pulotu — Database of Pacific Religions
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,35,Religious Group (v5),"Members of the Ahmadiyya Muslim Jama'at founded by Mirza Ghulam Ahmad of Qadian, India in 1889",1889,2016,652,385,Afzal Upal,2016-11-10 07:00:00.000 +0100,2017-11-17 14:55:22.739 +0100,Database of Religious History (DRH)
389,Iban traditional religion,35,Religious Group (v5),Indigenous religion of the Iban people of Borneo. Most Iban have now converted to Christianity.,1840,1970,656,338,Oliver Sheehan,2016-11-12 07:00:00.000 +0100,2018-08-27 22:20:22.751 +0200,Pulotu — Database of Pacific Religions
390,Dasara,35,Religious Group (v5),"Dasara is celebrated by many people in southern Karnataka, especially in the city of Mysore. The celebrants include people from all castes and religious communities, including brahmin priests, royalty, agricultural castes, people of the city, etc.",1610,2016,654,373,Caleb Simmons,2016-11-13 07:00:00.000 +0100,2017-11-17 14:55:22.742 +0100,Database of Religious History (DRH)
392,Sikhism: Guru Hargobind to Guru Gobind Singh,35,Religious Group (v5),"Sikh tradition under the leadership of Gurus 6-10: Guru Hargobind (1606-44), Guru Har Rai (1644-61), Guru Harkrishan (1661-1664), Guru Teg Bahadur (1664-75), and Guru Gobind Singh (1675-1708).",1606,1708,652,346,Toby Braden Johnson,2016-11-18 07:00:00.000 +0100,2022-02-10 18:22:25.504 +0100,Database of Religious History (DRH)
395,International Society for Krishna Consciousness (ISKCON),35,Religious Group (v5),"A religious movement inspired by the teachings of the Indian Medieval cultural hero Caitanya and started by A.C. Bhaktivedanta Swami Prabhupada in 1966 in New York. Its doctrine belongs to the tradition of Gaudiya Vaishnavism, with a number of theological issues and disputes traceable to the colonial encounter with Christianity. The movement is spread worldwide, but presently it is most active in India. The community structure fluctuated significantly during its short history, from strong monastic and proselytizing beginnings in the sixties and seventies, through somewhat turbulent transition in the eighties, to a core of religious specialists organizing temple and congregational worship and catering both to the general and elite populace in India, the heritage community in the US and the EU, and a number of religious converts worldwide.",1966,2016,660,350,Aleksandar Uskokov,2016-11-05 06:00:00.000 +0100,2017-11-17 14:55:22.744 +0100,Database of Religious History (DRH)
400,Singaporean Mega-Churches,35,Religious Group (v5),"This group is comprised of many independent Christian movements. It has many roots in the Anglican, Catholic, Methodist, Presbyterian, and Lutheran churches. Starting in the late 1980s Singapore saw the rise of many independent charismatic churches.",1980,2015,381,341,Justin Lane,2016-12-08 07:00:00.000 +0100,2017-11-17 14:55:22.748 +0100,Database of Religious History (DRH)
406,Daoism,35,Religious Group (v5),,142,2014,45,131,Terry Kleeman,2014-10-04 16:10:55.697 +0200,2017-11-17 14:55:22.756 +0100,Database of Religious History (DRH)
