question_id,question_name,parent_question,poll_name
7730,How might emic and scholarly (anthropological) assessments of the audience differ?,Can scholarly and emic notions of the audience differ?,Religious Text (v1.0)
7923,"If associations with mental aggregates are neither positive or negative, are there other important details to know?",Within conceptions of the mind: are there distinct notions of pyschological states or aggregates?,Religious Text (v1.0)
6875,If known: which authority (authorities) describe(s) the language as sacred?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7715,If known: which authority (authorities) describe(s) the language as sacred?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
6985,"If multiple versions are proper, is there a differentiation among versions by any means?",Are multiple versions viewed as proper?,Religious Text (v0.1)
7825,"If multiple versions are proper, is there a differentiation among versions by any means?",Are multiple versions viewed as proper?,Religious Text (v1.0)
7001,"If the text is not explicitly scripture, is it part of another important literary tradition?",,Religious Text (v0.1)
7841,"If the text is not explicitly scripture, is it part of another important literary tradition?",,Religious Text (v1.0)
6979,Illuminations?,Is the text itself accompanied by art?,Religious Text (v0.1)
7819,Illuminations?,Is the text itself accompanied by art?,Religious Text (v1.0)
6978,Illustrations?,Is the text itself accompanied by art?,Religious Text (v0.1)
7818,Illustrations?,Is the text itself accompanied by art?,Religious Text (v1.0)
7864,Implied financial rewards (tax exemption?)?,Are there any established institutionalized rewards specified in the text?,Religious Text (v1.0)
6402,In a restricted section of the structure removed from general traffic:,Were the scriptures/sacred texts located in a specific room within the main structure:,Religious Place (v1.2)
7946,In textual exegesis among practitioners are there debates about reincarnation?,Is belief in reincarnation in this world specified in the text?,Religious Text (v1.0)
6401,In the cella:,Were the scriptures/sacred texts located in a specific room within the main structure:,Religious Place (v1.2)
6762,Inked,Methods of Composition,Religious Text (v0.1)
7602,Inked,Methods of Composition,Religious Text (v1.0)
6624,Is biological sex available from evidence:,Adults,Religious Place (v1.2)
6626,Is biological sex available from evidence:,Children,Religious Place (v1.2)
6630,Is biological sex available from evidence:,Elites,Religious Place (v1.2)
6628,Is biological sex available from evidence:,Foreigners and/or slaves,Religious Place (v1.2)
8400,Is education gendered with respect to this text and larger textual tradition?,,Religious Text (v1.0)
7896,Is encouraging pilgrimages a primary reason for the existence of the text?,Pilgramages?,Religious Text (v1.0)
6639,Is it a kingship prerogative:,Is self-sacrifice common and/or expect of elites:,Religious Place (v1.2)
6946,Is it hidden?,Is there material significance to the text?,Religious Text (v0.1)
7786,Is it hidden?,Is there material significance to the text?,Religious Text (v1.0)
6922,Is it orally recited?,Is the text in question employed in ritual practice?,Religious Text (v0.1)
7762,Is it orally recited?,Is the text in question employed in ritual practice?,Religious Text (v1.0)
6928,Is it read?,Is the text in question employed in ritual practice?,Religious Text (v0.1)
7768,Is it read?,Is the text in question employed in ritual practice?,Religious Text (v1.0)
6945,Is it visible?,Is there material significance to the text?,Religious Text (v0.1)
7785,Is it visible?,Is there material significance to the text?,Religious Text (v1.0)
7743,Is missionary work encouraged by the text for all adherents?,Is proselytizing encouraged according to the text?,Religious Text (v1.0)
7742,Is missionary work encouraged by the text for religious professionals?,Is proselytizing encouraged according to the text?,Religious Text (v1.0)
7755,Is normative proselytizing directed toward a specific audience?,Is textual justification for proselytizing part of the norm in the religious group?,Religious Text (v1.0)
7754,Is normative proselytizing located in a specific place?,Is textual justification for proselytizing part of the norm in the religious group?,Religious Text (v1.0)
7753,Is normative proselytizing located in a specific time?,Is textual justification for proselytizing part of the norm in the religious group?,Religious Text (v1.0)
7739,Is proselytizing encouraged according to the text?,Does the Religious group actively proselytize and recruit new members?,Religious Text (v1.0)
7741,Is proselytizing encouraged by the text for all adherents?,Is proselytizing encouraged according to the text?,Religious Text (v1.0)
7740,Is proselytizing encouraged by the text for religious professionals?,Is proselytizing encouraged according to the text?,Religious Text (v1.0)
7758,Is proselytizing forbidden or restricted by the text?,Does the Religious group actively proselytize and recruit new members?,Religious Text (v1.0)
7733,Is proselytizing mandated according to the text?,Does the Religious group actively proselytize and recruit new members?,Religious Text (v1.0)
7738,Is proselytizing or missionary work part of the historical culture of the community referenced in the text?,Is proselytizing mandated according to the text?,Religious Text (v1.0)
6637,Is self-sacrifice common and/or expect of elites:,Are there self-sacrifices present:,Religious Place (v1.2)
8423,Is taxation linked to an understanding of charitable giving?,Does the text specify forms of taxation?,Religious Text (v1.0)
7752,Is textual justification for proselytizing part of the norm in the religious group?,Does the Religious group actively proselytize and recruit new members?,Religious Text (v1.0)
6814,Is the area where the text is stored accompanied by an-iconic images?,,Religious Text (v0.1)
7654,Is the area where the text is stored accompanied by an-iconic images?,,Religious Text (v1.0)
6954,Is the knowledge esoteric?,Promotes knowledge?,Religious Text (v0.1)
7794,Is the knowledge esoteric?,Promotes knowledge?,Religious Text (v1.0)
6951,Is the knowledge hidden?,Promotes knowledge?,Religious Text (v0.1)
7791,Is the knowledge hidden?,Promotes knowledge?,Religious Text (v1.0)
6953,Is the knowledge occult?,Promotes knowledge?,Religious Text (v0.1)
7793,Is the knowledge occult?,Promotes knowledge?,Religious Text (v1.0)
7848,Is the lineage defined by concrete cycles or measures of time?,Are there lineages or a single lineage established by the text?,Religious Text (v1.0)
6798,Is the location where the text stored accompanied by iconography or images?,,Religious Text (v0.1)
7638,Is the location where the text stored accompanied by iconography or images?,,Religious Text (v1.0)
7904,Is the pilgramage conducted by walking or by other means?,Pilgramages?,Religious Text (v1.0)
6863,Is the select group of people defined by any age designation?,Is there a select group of people trained in transmitting the scriptures?,Religious Text (v0.1)
7703,Is the select group of people defined by any age designation?,Is there a select group of people trained in transmitting the scriptures?,Religious Text (v1.0)
6864,Is the select group of people defined by any form of linguistic designation?,Is there a select group of people trained in transmitting the scriptures?,Religious Text (v0.1)
7704,Is the select group of people defined by any form of linguistic designation?,Is there a select group of people trained in transmitting the scriptures?,Religious Text (v1.0)
6862,Is the select group of people defined by any specific gender designation?,Is there a select group of people trained in transmitting the scriptures?,Religious Text (v0.1)
7702,Is the select group of people defined by any specific gender designation?,Is there a select group of people trained in transmitting the scriptures?,Religious Text (v1.0)
7935,Is the temporality of the afterlife specified or described by the religious group?,Is belief in an afterlife indicated in the text?,Religious Text (v1.0)
7005,"Is the text - or does the text include - a ritual list, manual, bibliography, index, or vocabulary? (Select all that apply)",,Religious Text (v0.1)
7845,"Is the text - or does the text include - a ritual list, manual, bibliography, index, or vocabulary? (Select all that apply)",,Religious Text (v1.0)
6921,Is the text in question employed in ritual practice?,,Religious Text (v0.1)
7761,Is the text in question employed in ritual practice?,,Religious Text (v1.0)
6976,Is the text itself accompanied by art?,,Religious Text (v0.1)
7816,Is the text itself accompanied by art?,,Religious Text (v1.0)
6994,Is the text part of a collection of texts?,,Religious Text (v0.1)
7834,Is the text part of a collection of texts?,,Religious Text (v1.0)
6999,Is the text part of a series of volumes?,Is the text part of a collection of texts?,Religious Text (v0.1)
7839,Is the text part of a series of volumes?,Is the text part of a collection of texts?,Religious Text (v1.0)
7756,Is the text silent on matters of proselytization?,Does the Religious group actively proselytize and recruit new members?,Religious Text (v1.0)
6777,Is the text stored in a specific location?,,Religious Text (v0.1)
7617,Is the text stored in a specific location?,,Religious Text (v1.0)
6995,Is there a sense of canonization?,Is the text part of a collection of texts?,Religious Text (v0.1)
7835,Is there a sense of canonization?,Is the text part of a collection of texts?,Religious Text (v1.0)
6923,Is there any particular affect of the oral recitation of the text?,Is it orally recited?,Religious Text (v0.1)
7763,Is there any particular affect of the oral recitation of the text?,Is it orally recited?,Religious Text (v1.0)
6931,Is there any particular affect on the audience of the recitation?,Is it read?,Religious Text (v0.1)
7771,Is there any particular affect on the audience of the recitation?,Is it read?,Religious Text (v1.0)
6924,Is there any particular affect on the audience of the recitation?,Is there any particular affect of the oral recitation of the text?,Religious Text (v0.1)
7764,Is there any particular affect on the audience of the recitation?,Is there any particular affect of the oral recitation of the text?,Religious Text (v1.0)
6929,Is there any particular affect on the reader of the text?,Is it read?,Religious Text (v0.1)
7769,Is there any particular affect on the reader of the text?,Is it read?,Religious Text (v1.0)
6989,Is there debate about which version is proper?,Are there multiple versions of the text?,Religious Text (v0.1)
7829,Is there debate about which version is proper?,Are there multiple versions of the text?,Religious Text (v1.0)
7936,Is there debate in the interpretation of the language of the afterlife?,Is belief in an afterlife indicated in the text?,Religious Text (v1.0)
7821,Is there gold?,Illuminations?,Religious Text (v1.0)
6944,Is there material significance to the text?,,Religious Text (v0.1)
7784,Is there material significance to the text?,,Religious Text (v1.0)
7820,Is there spiritual value associated with the coloration?,Illuminations?,Religious Text (v1.0)
6837,Is this class/caste based on a cultural status?,Are the religious specialists of a specific class/caste?,Religious Text (v0.1)
7677,Is this class/caste based on a cultural status?,Are the religious specialists of a specific class/caste?,Religious Text (v1.0)
6838,Is this class/caste based on socioeconomic status?,Are the religious specialists of a specific class/caste?,Religious Text (v0.1)
7678,Is this class/caste based on socioeconomic status?,Are the religious specialists of a specific class/caste?,Religious Text (v1.0)
6796,Library/archive,Is the text stored in a specific location?,Religious Text (v0.1)
7636,Library/archive,Is the text stored in a specific location?,Religious Text (v1.0)
7867,Life cycle rituals?,"Does the text express authority of ethical guidelines? (E.g.: adat literature that dictates or records ""customary practices"")",Religious Text (v1.0)
7811,Liquids?,Are there material substantance that commonly accompany the text?,Religious Text (v1.0)
7882,Marriage?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
6767,Medium upon which the text is written/incised,,Religious Text (v0.1)
7607,Medium upon which the text is written/incised,,Religious Text (v1.0)
7799,Mental/psychological healing,Does the text serve a healing function?,Religious Text (v1.0)
6763,Method of inscription,Methods of Composition,Religious Text (v0.1)
7603,Method of inscription,Methods of Composition,Religious Text (v1.0)
6761,Methods of Composition,,Religious Text (v0.1)
7601,Methods of Composition,,Religious Text (v1.0)
6789,Monument,Is the text stored in a specific location?,Religious Text (v0.1)
7629,Monument,Is the text stored in a specific location?,Religious Text (v1.0)
6786,Mosque,Is the text stored in a specific location?,Religious Text (v0.1)
7626,Mosque,Is the text stored in a specific location?,Religious Text (v1.0)
7879,Naming ceremonies (for toddlers)?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
7606,Number of sheets,Methods of Composition,Religious Text (v1.0)
7967,"Of what type, if known?",Animal co-sacrifices present?,Religious Text (v1.0)
6937,"On average, how many participants are present?",Is the text employed in small scale rituals?,Religious Text (v0.1)
7777,"On average, how many participants are present?",Is the text employed in small scale rituals?,Religious Text (v1.0)
6926,On the reciter?,Is there any particular affect of the oral recitation of the text?,Religious Text (v0.1)
7766,On the reciter?,Is there any particular affect of the oral recitation of the text?,Religious Text (v1.0)
6760,Online Corpora,,Religious Text (v0.1)
7600,Online Corpora,,Religious Text (v1.0)
6759,Online Sources,,Religious Text (v0.1)
7599,Online Sources,,Religious Text (v1.0)
6757,Other,Are the scriptures part of the building/place:,Religious Place (v1.2)
6631,Other,Are there human sacrifices:,Religious Place (v1.2)
7815,Other,Are there material substantance that commonly accompany the text?,Religious Text (v1.0)
7004,Other,"If the text is not explicitly scripture, is it part of another important literary tradition?",Religious Text (v0.1)
7844,Other,"If the text is not explicitly scripture, is it part of another important literary tradition?",Religious Text (v1.0)
